"Domain Code","Domain","Area Code","Area","Element Code","Element","Item Code","Item","Year Code","Year","Unit","Value","Ranking"
"QC","Crops","2","Afghanistan","5510","Production","15","Wheat","2013","2013","tonnes","5169235.0","1"
"QL","Livestock Primary","2","Afghanistan","5510","Production","882","Milk, whole fresh cow","2013","2013","tonnes","1495600.0","2"
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2013","2013","tonnes","610570.0","3"
"QP","Livestock Processed","2","Afghanistan","5510","Production","888","Milk, skimmed cow","2013","2013","tonnes","578952.0","4"
"QC","Crops","2","Afghanistan","5510","Production","463","Vegetables, fresh nes","2013","2013","tonnes","560000.0","5"
"QC","Crops","2","Afghanistan","5510","Production","44","Barley","2013","2013","tonnes","514000.0","6"
"QC","Crops","2","Afghanistan","5510","Production","27","Rice, paddy","2013","2013","tonnes","512094.0","7"
"QC","Crops","2","Afghanistan","5510","Production","30","Rice, paddy (rice milled equivalent)","2013","2013","tonnes","341567.0","8"
"QC","Crops","2","Afghanistan","5510","Production","56","Maize","2013","2013","tonnes","312000.0","9"
"QC","Crops","2","Afghanistan","5510","Production","116","Potatoes","2013","2013","tonnes","302980.0","10"
