"Domain Code","Domain","Area Code","Area","Element Code","Element","Item Code","Item","Year Code","Year","Unit","Value","Ranking"
"QC","Crops","2","Afghanistan","5510","Production","15","Wheat","2012","2012","tonnes","5050000.0","1"
"QL","Livestock Primary","2","Afghanistan","5510","Production","882","Milk, whole fresh cow","2012","2012","tonnes","1507700.0","2"
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2012","2012","tonnes","590065.0","3"
"QP","Livestock Processed","2","Afghanistan","5510","Production","888","Milk, skimmed cow","2012","2012","tonnes","570038.0","4"
"QC","Crops","2","Afghanistan","5510","Production","463","Vegetables, fresh nes","2012","2012","tonnes","550000.0","5"
"QC","Crops","2","Afghanistan","5510","Production","44","Barley","2012","2012","tonnes","504000.0","6"
"QC","Crops","2","Afghanistan","5510","Production","27","Rice, paddy","2012","2012","tonnes","500000.0","7"
"QC","Crops","2","Afghanistan","5510","Production","30","Rice, paddy (rice milled equivalent)","2012","2012","tonnes","333500.0","8"
"QC","Crops","2","Afghanistan","5510","Production","56","Maize","2012","2012","tonnes","310000.0","9"
"QC","Crops","2","Afghanistan","5510","Production","403","Onions, dry","2012","2012","tonnes","267744.0","10"
