"Domain Code","Domain","Area Code","Area","Element Code","Element","Item Code","Item","Year Code","Year","Unit","Value","Ranking"
"QC","Crops","2","Afghanistan","5510","Production","15","Wheat","2017","2017","tonnes","4280776.0","1"
"QL","Livestock Primary","2","Afghanistan","5510","Production","882","Milk, whole fresh cow","2017","2017","tonnes","1781535.0","2"
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2017","2017","tonnes","859903.0","3"
"QC","Crops","2","Afghanistan","5510","Production","567","Watermelons","2017","2017","tonnes","683778.0","4"
"QC","Crops","2","Afghanistan","5510","Production","463","Vegetables, fresh nes","2017","2017","tonnes","681828.0","5"
"QC","Crops","2","Afghanistan","5510","Production","116","Potatoes","2017","2017","tonnes","513194.0","6"
"QC","Crops","2","Afghanistan","5510","Production","27","Rice, paddy","2017","2017","tonnes","338420.0","7"
"QC","Crops","2","Afghanistan","5510","Production","568","Melons, other (inc.cantaloupes)","2017","2017","tonnes","327630.0","8"
"QC","Crops","2","Afghanistan","5510","Production","30","Rice, paddy (rice milled equivalent)","2017","2017","tonnes","225726.0","9"
"QC","Crops","2","Afghanistan","5510","Production","403","Onions, dry","2017","2017","tonnes","212000.0","10"
