"Domain Code","Domain","Area Code","Area","Element Code","Element","Item Code","Item","Year Code","Year","Unit","Value","Ranking"
"QC","Crops","2","Afghanistan","5510","Production","15","Wheat","2014","2014","tonnes","5370259.0","1"
"QL","Livestock Primary","2","Afghanistan","5510","Production","882","Milk, whole fresh cow","2014","2014","tonnes","1507050.0","2"
"QC","Crops","2","Afghanistan","5510","Production","463","Vegetables, fresh nes","2014","2014","tonnes","775178.0","3"
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2014","2014","tonnes","744847.0","4"
"QP","Livestock Processed","2","Afghanistan","5510","Production","888","Milk, skimmed cow","2014","2014","tonnes","554164.0","5"
"QC","Crops","2","Afghanistan","5510","Production","27","Rice, paddy","2014","2014","tonnes","537000.0","6"
"QC","Crops","2","Afghanistan","5510","Production","44","Barley","2014","2014","tonnes","521000.0","7"
"QC","Crops","2","Afghanistan","5510","Production","30","Rice, paddy (rice milled equivalent)","2014","2014","tonnes","358179.0","8"
"QC","Crops","2","Afghanistan","5510","Production","116","Potatoes","2014","2014","tonnes","340257.0","9"
"QC","Crops","2","Afghanistan","5510","Production","56","Maize","2014","2014","tonnes","316000.0","10"
