"Domain Code","Domain","Area Code","Area","Element Code","Element","Item Code","Item","Year Code","Year","Unit","Value","Ranking"
"QC","Crops","2","Afghanistan","5510","Production","15","Wheat","2011","2011","tonnes","3388000.0","1"
"QL","Livestock Primary","2","Afghanistan","5510","Production","882","Milk, whole fresh cow","2011","2011","tonnes","1403000.0","2"
"QC","Crops","2","Afghanistan","5510","Production","27","Rice, paddy","2011","2011","tonnes","672000.0","3"
"QP","Livestock Processed","2","Afghanistan","5510","Production","888","Milk, skimmed cow","2011","2011","tonnes","535382.0","4"
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2011","2011","tonnes","492464.0","5"
"QC","Crops","2","Afghanistan","5510","Production","463","Vegetables, fresh nes","2011","2011","tonnes","480000.0","6"
"QC","Crops","2","Afghanistan","5510","Production","30","Rice, paddy (rice milled equivalent)","2011","2011","tonnes","448224.0","7"
"QC","Crops","2","Afghanistan","5510","Production","44","Barley","2011","2011","tonnes","305900.0","8"
"QC","Crops","2","Afghanistan","5510","Production","56","Maize","2011","2011","tonnes","300120.0","9"
"QC","Crops","2","Afghanistan","5510","Production","403","Onions, dry","2011","2011","tonnes","282948.0","10"
