"Domain Code","Domain","Area Code","Area","Element Code","Element","Item Code","Item","Year Code","Year","Unit","Value","Ranking"
"QC","Crops","2","Afghanistan","5510","Production","15","Wheat","2015","2015","tonnes","4673040.0","1"
"QL","Livestock Primary","2","Afghanistan","5510","Production","882","Milk, whole fresh cow","2015","2015","tonnes","1868311.0","2"
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2015","2015","tonnes","805072.0","3"
"QC","Crops","2","Afghanistan","5510","Production","463","Vegetables, fresh nes","2015","2015","tonnes","797775.0","4"
"QC","Crops","2","Afghanistan","5510","Production","27","Rice, paddy","2015","2015","tonnes","410000.0","5"
"QC","Crops","2","Afghanistan","5510","Production","44","Barley","2015","2015","tonnes","403000.0","6"
"QC","Crops","2","Afghanistan","5510","Production","567","Watermelons","2015","2015","tonnes","328186.0","7"
"QC","Crops","2","Afghanistan","5510","Production","116","Potatoes","2015","2015","tonnes","327507.0","8"
"QC","Crops","2","Afghanistan","5510","Production","56","Maize","2015","2015","tonnes","316000.0","9"
"QC","Crops","2","Afghanistan","5510","Production","568","Melons, other (inc.cantaloupes)","2015","2015","tonnes","302067.0","10"
