"Domain Code","Domain","Area Code","Area","Element Code","Element","Item Code","Item","Year Code","Year","Unit","Value","Ranking"
"QC","Crops","2","Afghanistan","5510","Production","15","Wheat","2018","2018","tonnes","3613300.0","1"
"QL","Livestock Primary","2","Afghanistan","5510","Production","882","Milk, whole fresh cow","2018","2018","tonnes","1796609.0","2"
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2018","2018","tonnes","984081.0","3"
"QC","Crops","2","Afghanistan","5510","Production","116","Potatoes","2018","2018","tonnes","615684.0","4"
"QC","Crops","2","Afghanistan","5510","Production","463","Vegetables, fresh nes","2018","2018","tonnes","591350.0","5"
"QC","Crops","2","Afghanistan","5510","Production","567","Watermelons","2018","2018","tonnes","381238.0","6"
"QC","Crops","2","Afghanistan","5510","Production","27","Rice, paddy","2018","2018","tonnes","352177.0","7"
"QC","Crops","2","Afghanistan","5510","Production","568","Melons, other (inc.cantaloupes)","2018","2018","tonnes","329241.0","8"
"QC","Crops","2","Afghanistan","5510","Production","30","Rice, paddy (rice milled equivalent)","2018","2018","tonnes","234902.0","9"
"QC","Crops","2","Afghanistan","5510","Production","515","Apples","2018","2018","tonnes","217192.0","10"
