"Domain Code","Domain","Area Code","Area","Element Code","Element","Item Code","Item","Year Code","Year","Unit","Value","Ranking"
"QC","Crops","2","Afghanistan","5510","Production","15","Wheat","2016","2016","tonnes","4555110.0","1"
"QL","Livestock Primary","2","Afghanistan","5510","Production","882","Milk, whole fresh cow","2016","2016","tonnes","1860908.0","2"
"QC","Crops","2","Afghanistan","5510","Production","463","Vegetables, fresh nes","2016","2016","tonnes","1283848.0","3"
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2016","2016","tonnes","874541.0","4"
"QC","Crops","2","Afghanistan","5510","Production","567","Watermelons","2016","2016","tonnes","862341.0","5"
"QC","Crops","2","Afghanistan","5510","Production","568","Melons, other (inc.cantaloupes)","2016","2016","tonnes","506266.0","6"
"QC","Crops","2","Afghanistan","5510","Production","116","Potatoes","2016","2016","tonnes","427917.0","7"
"QC","Crops","2","Afghanistan","5510","Production","27","Rice, paddy","2016","2016","tonnes","356565.0","8"
"QC","Crops","2","Afghanistan","5510","Production","56","Maize","2016","2016","tonnes","311646.0","9"
"QC","Crops","2","Afghanistan","5510","Production","44","Barley","2016","2016","tonnes","301856.0","10"
